Merchant_Name,Industry,Location
Kappa Sports 387,Sports,"Tokyo, Japan"
Beta Retail 683,Food & Beverage,"New York, USA"
Gamma Electronics 312,Books,"Paris, France"
Zeta Furnishings 325,Food & Beverage,"Toronto, Canada"
Kappa Sports 344,Pharmaceuticals,"Berlin, Germany"
Delta Foods 946,Retail,"Mumbai, India"
Epsilon Pharma 730,Technology,"Sydney, Australia"
Kappa Sports 281,Books,"Berlin, Germany"
Lambda Books 508,Electronics,"Tokyo, Japan"
Sigma Tech 558,Fashion,"Sydney, Australia"
Sigma Tech 262,Sports,"New York, USA"
Lambda Books 292,Technology,"Mumbai, India"
Delta Foods 190,Pharmaceuticals,"Mumbai, India"
Delta Foods 296,Retail,"Sydney, Australia"
Alpha Traders 802,Electronics,"Mumbai, India"
Omega Fashion 896,Fashion,"London, UK"
Sigma Tech 426,Retail,"Tokyo, Japan"
Zeta Furnishings 239,Food & Beverage,"Toronto, Canada"
Kappa Sports 450,Fashion,"Dubai, UAE"
Gamma Electronics 767,Technology,"Toronto, Canada"
Beta Retail 415,Retail,"Los Angeles, USA"
Beta Retail 921,Technology,"Mumbai, India"
Zeta Furnishings 761,Books,"Los Angeles, USA"
Delta Foods 762,Retail,"Toronto, Canada"
Alpha Traders 166,Pharmaceuticals,"Dubai, UAE"
Epsilon Pharma 408,Technology,"Los Angeles, USA"
Gamma Electronics 657,Sports,"Sydney, Australia"
Kappa Sports 766,Sports,"Berlin, Germany"
Beta Retail 228,Technology,"Mumbai, India"
Gamma Electronics 843,Books,"Los Angeles, USA"
Sigma Tech 117,Pharmaceuticals,"Dubai, UAE"
Omega Fashion 220,Fashion,"Berlin, Germany"
Gamma Electronics 633,Retail,"Tokyo, Japan"
Kappa Sports 837,Electronics,"Dubai, UAE"
Delta Foods 906,Technology,"New York, USA"
Zeta Furnishings 148,Sports,"New York, USA"
Epsilon Pharma 834,Pharmaceuticals,"Dubai, UAE"
Omega Fashion 409,Pharmaceuticals,"Mumbai, India"
Lambda Books 792,Fashion,"Sydney, Australia"
Gamma Electronics 628,Technology,"Tokyo, Japan"
Lambda Books 897,Retail,"Los Angeles, USA"
Omega Fashion 994,Technology,"London, UK"
Epsilon Pharma 569,Sports,"New York, USA"
Gamma Electronics 219,Pharmaceuticals,"Paris, France"
Sigma Tech 570,Retail,"Los Angeles, USA"
Zeta Furnishings 836,Fashion,"Mumbai, India"
Sigma Tech 276,Fashion,"New York, USA"
Sigma Tech 517,Sports,"Tokyo, Japan"
Epsilon Pharma 438,Books,"New York, USA"
Gamma Electronics 656,Fashion,"New York, USA"
Delta Foods 384,Sports,"Toronto, Canada"
Sigma Tech 260,Fashion,"Berlin, Germany"
Epsilon Pharma 383,Sports,"Los Angeles, USA"
Kappa Sports 645,Food & Beverage,"Sydney, Australia"
Delta Foods 655,Food & Beverage,"Paris, France"
Gamma Electronics 381,Food & Beverage,"New York, USA"
Kappa Sports 333,Sports,"Sydney, Australia"
Beta Retail 798,Electronics,"Paris, France"
Zeta Furnishings 643,Food & Beverage,"Berlin, Germany"
Delta Foods 804,Retail,"Los Angeles, USA"
Gamma Electronics 593,Retail,"New York, USA"
Sigma Tech 305,Retail,"Toronto, Canada"
Gamma Electronics 719,Books,"New York, USA"
Gamma Electronics 816,Fashion,"Paris, France"
Sigma Tech 963,Retail,"Mumbai, India"
Lambda Books 781,Retail,"London, UK"
Sigma Tech 319,Fashion,"Tokyo, Japan"
Sigma Tech 837,Electronics,"Berlin, Germany"
Epsilon Pharma 560,Electronics,"Toronto, Canada"
Omega Fashion 236,Sports,"Dubai, UAE"
Delta Foods 750,Technology,"Paris, France"
Omega Fashion 116,Sports,"Tokyo, Japan"
Alpha Traders 190,Sports,"Berlin, Germany"
Lambda Books 813,Fashion,"Berlin, Germany"
Epsilon Pharma 923,Electronics,"Paris, France"
Epsilon Pharma 117,Electronics,"New York, USA"
Zeta Furnishings 536,Technology,"Tokyo, Japan"
Epsilon Pharma 975,Retail,"Paris, France"
Gamma Electronics 200,Sports,"London, UK"
Lambda Books 913,Fashion,"Tokyo, Japan"
Sigma Tech 713,Electronics,"London, UK"
Beta Retail 528,Retail,"New York, USA"
Lambda Books 957,Retail,"Tokyo, Japan"
Lambda Books 656,Sports,"Paris, France"
Sigma Tech 586,Sports,"Paris, France"
Beta Retail 177,Fashion,"Sydney, Australia"
Sigma Tech 875,Electronics,"Paris, France"
Gamma Electronics 308,Food & Beverage,"Sydney, Australia"
Delta Foods 427,Sports,"Sydney, Australia"
Beta Retail 753,Sports,"Los Angeles, USA"
Alpha Traders 143,Fashion,"Sydney, Australia"
Zeta Furnishings 983,Sports,"New York, USA"
Epsilon Pharma 376,Fashion,"Dubai, UAE"
Kappa Sports 234,Pharmaceuticals,"Berlin, Germany"
Epsilon Pharma 822,Retail,"Tokyo, Japan"
Kappa Sports 269,Retail,"Los Angeles, USA"
Omega Fashion 278,Fashion,"Sydney, Australia"
Sigma Tech 116,Sports,"London, UK"
Sigma Tech 235,Food & Beverage,"Toronto, Canada"
Kappa Sports 264,Food & Beverage,"Mumbai, India"
Sigma Tech 873,Sports,"Dubai, UAE"
Alpha Traders 758,Food & Beverage,"New York, USA"
Kappa Sports 979,Sports,"Dubai, UAE"
Epsilon Pharma 634,Retail,"Los Angeles, USA"
Zeta Furnishings 930,Fashion,"Dubai, UAE"
Alpha Traders 389,Technology,"Los Angeles, USA"
Beta Retail 731,Sports,"Toronto, Canada"
Delta Foods 862,Technology,"Tokyo, Japan"
Epsilon Pharma 105,Books,"Dubai, UAE"
Sigma Tech 898,Technology,"Paris, France"
Beta Retail 996,Sports,"Tokyo, Japan"
Omega Fashion 685,Pharmaceuticals,"Dubai, UAE"
Delta Foods 603,Fashion,"Paris, France"
Sigma Tech 323,Sports,"Sydney, Australia"
Omega Fashion 945,Pharmaceuticals,"Sydney, Australia"
Zeta Furnishings 849,Food & Beverage,"Mumbai, India"
Alpha Traders 196,Sports,"Los Angeles, USA"
Beta Retail 398,Books,"Berlin, Germany"
Lambda Books 269,Electronics,"Mumbai, India"
Zeta Furnishings 680,Pharmaceuticals,"London, UK"
Kappa Sports 382,Technology,"Dubai, UAE"
Delta Foods 609,Technology,"Paris, France"
Delta Foods 202,Books,"Mumbai, India"
Lambda Books 193,Retail,"Dubai, UAE"
Sigma Tech 763,Retail,"Paris, France"
Omega Fashion 199,Sports,"Paris, France"
Kappa Sports 964,Fashion,"Paris, France"
Epsilon Pharma 944,Fashion,"Sydney, Australia"
Delta Foods 423,Books,"Berlin, Germany"
Omega Fashion 381,Sports,"Berlin, Germany"
Zeta Furnishings 584,Food & Beverage,"Los Angeles, USA"
Kappa Sports 215,Fashion,"Berlin, Germany"
Zeta Furnishings 305,Books,"Berlin, Germany"
Gamma Electronics 316,Books,"Toronto, Canada"
Omega Fashion 672,Fashion,"Tokyo, Japan"
Kappa Sports 629,Pharmaceuticals,"Berlin, Germany"
Epsilon Pharma 362,Retail,"Tokyo, Japan"
Alpha Traders 304,Fashion,"Mumbai, India"
Lambda Books 595,Pharmaceuticals,"Sydney, Australia"
Gamma Electronics 526,Fashion,"Sydney, Australia"
Alpha Traders 702,Technology,"Tokyo, Japan"
Sigma Tech 770,Retail,"Tokyo, Japan"
Gamma Electronics 717,Sports,"Los Angeles, USA"
Omega Fashion 583,Sports,"Los Angeles, USA"
Zeta Furnishings 339,Electronics,"Berlin, Germany"
Kappa Sports 636,Technology,"London, UK"
Lambda Books 892,Retail,"Toronto, Canada"
Epsilon Pharma 694,Fashion,"Mumbai, India"
Delta Foods 202,Fashion,"Dubai, UAE"
Sigma Tech 908,Retail,"New York, USA"
Gamma Electronics 178,Sports,"Sydney, Australia"
Epsilon Pharma 385,Fashion,"Los Angeles, USA"
Lambda Books 733,Fashion,"London, UK"
Zeta Furnishings 181,Fashion,"New York, USA"
Lambda Books 120,Pharmaceuticals,"Sydney, Australia"
Zeta Furnishings 139,Sports,"New York, USA"
Alpha Traders 215,Sports,"New York, USA"
Omega Fashion 980,Books,"Toronto, Canada"
Lambda Books 842,Fashion,"Mumbai, India"
Alpha Traders 801,Food & Beverage,"Dubai, UAE"
Zeta Furnishings 203,Fashion,"Berlin, Germany"
Epsilon Pharma 342,Books,"Tokyo, Japan"
Alpha Traders 300,Technology,"Mumbai, India"
Gamma Electronics 594,Electronics,"Dubai, UAE"
Epsilon Pharma 105,Sports,"New York, USA"
Delta Foods 746,Pharmaceuticals,"Berlin, Germany"
Epsilon Pharma 588,Fashion,"Sydney, Australia"
Gamma Electronics 873,Sports,"Dubai, UAE"
Gamma Electronics 966,Food & Beverage,"Dubai, UAE"
Lambda Books 662,Electronics,"Sydney, Australia"
Sigma Tech 345,Books,"Paris, France"
Kappa Sports 585,Technology,"Berlin, Germany"
Lambda Books 120,Food & Beverage,"Tokyo, Japan"
Lambda Books 545,Technology,"Paris, France"
Beta Retail 597,Electronics,"Tokyo, Japan"
Gamma Electronics 714,Electronics,"New York, USA"
Beta Retail 612,Retail,"Berlin, Germany"
Alpha Traders 250,Fashion,"Sydney, Australia"
Kappa Sports 966,Fashion,"Dubai, UAE"
Beta Retail 347,Retail,"Los Angeles, USA"
Delta Foods 920,Retail,"Berlin, Germany"
Delta Foods 178,Retail,"Toronto, Canada"
Zeta Furnishings 135,Books,"Tokyo, Japan"
Epsilon Pharma 573,Pharmaceuticals,"Toronto, Canada"
Alpha Traders 755,Electronics,"Mumbai, India"
Epsilon Pharma 968,Electronics,"Sydney, Australia"
Kappa Sports 192,Food & Beverage,"Tokyo, Japan"
Kappa Sports 157,Electronics,"Dubai, UAE"
Epsilon Pharma 174,Books,"Berlin, Germany"
Omega Fashion 357,Sports,"Tokyo, Japan"
Alpha Traders 666,Food & Beverage,"Berlin, Germany"
Beta Retail 445,Sports,"London, UK"
Sigma Tech 202,Retail,"Mumbai, India"
Omega Fashion 818,Books,"London, UK"
Kappa Sports 555,Electronics,"Sydney, Australia"
Zeta Furnishings 936,Electronics,"Tokyo, Japan"
Sigma Tech 994,Food & Beverage,"Berlin, Germany"
Sigma Tech 316,Technology,"Dubai, UAE"
Sigma Tech 118,Books,"London, UK"
Kappa Sports 609,Food & Beverage,"Berlin, Germany"
Kappa Sports 850,Pharmaceuticals,"Mumbai, India"
Beta Retail 298,Technology,"Tokyo, Japan"
Beta Retail 562,Retail,"New York, USA"
Alpha Traders 778,Retail,"Berlin, Germany"
Alpha Traders 967,Technology,"Los Angeles, USA"
Sigma Tech 422,Fashion,"Toronto, Canada"
Zeta Furnishings 638,Food & Beverage,"Paris, France"
Alpha Traders 379,Retail,"New York, USA"
Zeta Furnishings 321,Sports,"Dubai, UAE"
Delta Foods 375,Pharmaceuticals,"Paris, France"
Lambda Books 790,Sports,"Sydney, Australia"
Alpha Traders 793,Food & Beverage,"Paris, France"
Lambda Books 820,Food & Beverage,"Berlin, Germany"
Kappa Sports 876,Food & Beverage,"Los Angeles, USA"
Omega Fashion 812,Fashion,"New York, USA"
Zeta Furnishings 500,Books,"Toronto, Canada"
Zeta Furnishings 157,Books,"London, UK"
Kappa Sports 784,Retail,"Tokyo, Japan"
Epsilon Pharma 564,Electronics,"Dubai, UAE"
Lambda Books 398,Technology,"Toronto, Canada"
Kappa Sports 175,Retail,"Tokyo, Japan"
Epsilon Pharma 663,Retail,"Tokyo, Japan"
Beta Retail 617,Retail,"Paris, France"
Gamma Electronics 667,Electronics,"Los Angeles, USA"
Omega Fashion 399,Retail,"New York, USA"
Sigma Tech 987,Sports,"Mumbai, India"
Omega Fashion 625,Books,"Sydney, Australia"
Delta Foods 540,Technology,"Dubai, UAE"
Omega Fashion 676,Food & Beverage,"Dubai, UAE"
Zeta Furnishings 469,Fashion,"Los Angeles, USA"
Alpha Traders 808,Electronics,"Dubai, UAE"
Omega Fashion 353,Books,"Los Angeles, USA"
Beta Retail 970,Sports,"Sydney, Australia"
Delta Foods 258,Technology,"Toronto, Canada"
Zeta Furnishings 156,Books,"Paris, France"
Omega Fashion 865,Retail,"Berlin, Germany"
Sigma Tech 152,Electronics,"New York, USA"
Alpha Traders 357,Fashion,"Berlin, Germany"
Omega Fashion 644,Retail,"Tokyo, Japan"
Sigma Tech 836,Books,"Los Angeles, USA"
Epsilon Pharma 395,Electronics,"Toronto, Canada"
Lambda Books 162,Pharmaceuticals,"London, UK"
Beta Retail 504,Books,"Berlin, Germany"
Beta Retail 907,Technology,"Los Angeles, USA"
Delta Foods 910,Pharmaceuticals,"Tokyo, Japan"
Sigma Tech 892,Technology,"Dubai, UAE"
Lambda Books 187,Pharmaceuticals,"Sydney, Australia"
Sigma Tech 163,Food & Beverage,"Berlin, Germany"
Delta Foods 548,Technology,"Dubai, UAE"
Gamma Electronics 605,Food & Beverage,"Tokyo, Japan"
Epsilon Pharma 590,Sports,"Dubai, UAE"
Lambda Books 343,Food & Beverage,"Dubai, UAE"
Kappa Sports 665,Food & Beverage,"Tokyo, Japan"
Sigma Tech 540,Technology,"Mumbai, India"
Gamma Electronics 796,Fashion,"Paris, France"
Beta Retail 931,Sports,"New York, USA"
Epsilon Pharma 271,Sports,"Toronto, Canada"
Omega Fashion 492,Retail,"Los Angeles, USA"
Gamma Electronics 450,Books,"New York, USA"
Gamma Electronics 146,Electronics,"Toronto, Canada"
Sigma Tech 934,Electronics,"Toronto, Canada"
Lambda Books 222,Electronics,"Sydney, Australia"
Beta Retail 194,Electronics,"London, UK"
Delta Foods 294,Electronics,"Berlin, Germany"
Zeta Furnishings 194,Retail,"Los Angeles, USA"
Sigma Tech 305,Pharmaceuticals,"Mumbai, India"
Alpha Traders 183,Sports,"New York, USA"
Delta Foods 731,Electronics,"Dubai, UAE"
Alpha Traders 444,Retail,"Toronto, Canada"
Sigma Tech 574,Retail,"Paris, France"
Lambda Books 339,Food & Beverage,"New York, USA"
Kappa Sports 879,Pharmaceuticals,"Tokyo, Japan"
Zeta Furnishings 853,Sports,"Los Angeles, USA"
Sigma Tech 933,Electronics,"Berlin, Germany"
Beta Retail 713,Pharmaceuticals,"Toronto, Canada"
Epsilon Pharma 820,Books,"Los Angeles, USA"
Gamma Electronics 163,Technology,"Sydney, Australia"
Sigma Tech 804,Pharmaceuticals,"Dubai, UAE"
Lambda Books 965,Technology,"New York, USA"
Kappa Sports 251,Retail,"Sydney, Australia"
Alpha Traders 807,Fashion,"London, UK"
Beta Retail 266,Retail,"Mumbai, India"
Epsilon Pharma 536,Retail,"Paris, France"
Zeta Furnishings 908,Food & Beverage,"Los Angeles, USA"
Gamma Electronics 327,Technology,"Toronto, Canada"
Alpha Traders 432,Food & Beverage,"Sydney, Australia"
Alpha Traders 766,Pharmaceuticals,"Berlin, Germany"
Lambda Books 786,Fashion,"New York, USA"
Kappa Sports 589,Retail,"New York, USA"
Sigma Tech 813,Sports,"Paris, France"
Zeta Furnishings 315,Retail,"New York, USA"
Lambda Books 919,Pharmaceuticals,"New York, USA"
Delta Foods 163,Pharmaceuticals,"Sydney, Australia"
Delta Foods 469,Pharmaceuticals,"Berlin, Germany"
Epsilon Pharma 838,Fashion,"Dubai, UAE"
Alpha Traders 402,Electronics,"Los Angeles, USA"
Beta Retail 557,Retail,"Dubai, UAE"
Kappa Sports 638,Sports,"Dubai, UAE"
Sigma Tech 978,Fashion,"London, UK"
Beta Retail 896,Electronics,"Los Angeles, USA"
Kappa Sports 653,Pharmaceuticals,"Mumbai, India"
Lambda Books 650,Retail,"Los Angeles, USA"
Alpha Traders 194,Food & Beverage,"Paris, France"
Sigma Tech 296,Fashion,"Los Angeles, USA"
Gamma Electronics 223,Technology,"London, UK"
Sigma Tech 777,Pharmaceuticals,"Toronto, Canada"
Lambda Books 569,Books,"Toronto, Canada"
Lambda Books 664,Pharmaceuticals,"Sydney, Australia"
Sigma Tech 387,Technology,"Tokyo, Japan"
Sigma Tech 586,Retail,"Mumbai, India"
Kappa Sports 976,Food & Beverage,"New York, USA"
Omega Fashion 949,Technology,"Toronto, Canada"
